@relation grade.arff

@attribute gender {male,female}
@attribute position {middle,front,behind}
@attribute late {sometimes,never,often}
@attribute lecture {sometimes,never,often}
@attribute repeat {sometimes,never,often}
@attribute reply {sometimes,never,often}
@attribute 'entrance examination' {great,admission,area,test}
@attribute majority {science-math,art-math,vocational,art-language}
@attribute type {highschool,vocational}
@attribute age numeric
@attribute location {dormitory,outside,house}
@attribute timetogotobed {bfmid,afmid}
@attribute 'provincial part' {east,central,northeast,southern,north}
@attribute class {success,fail}

@data
male,middle,sometimes,sometimes,sometimes,sometimes,great,science-math,highschool,17,dormitory,bfmid,east,success
male,front,never,never,sometimes,sometimes,admission,art-math,highschool,19,dormitory,afmid,central,success
female,front,never,never,sometimes,sometimes,area,art-math,highschool,19,dormitory,afmid,east,fail
female,middle,never,never,sometimes,never,great,vocational,vocational,18,outside,bfmid,central,success
female,behind,sometimes,sometimes,sometimes,sometimes,test,science-math,highschool,19,outside,bfmid,east,fail
female,behind,sometimes,sometimes,sometimes,sometimes,great,vocational,vocational,18,outside,bfmid,central,fail
male,behind,often,often,sometimes,sometimes,area,vocational,vocational,18,outside,afmid,east,success
male,middle,never,sometimes,sometimes,sometimes,area,art-math,highschool,19,outside,bfmid,northeast,success
female,middle,sometimes,sometimes,sometimes,never,area,science-math,highschool,18,outside,afmid,east,success
female,front,often,often,sometimes,sometimes,great,art-math,highschool,18,outside,afmid,central,success
male,behind,often,sometimes,sometimes,sometimes,test,art-math,highschool,19,outside,bfmid,central,fail
male,middle,never,sometimes,sometimes,sometimes,great,science-math,highschool,18,dormitory,afmid,east,success
male,middle,never,often,sometimes,often,great,art-math,highschool,18,dormitory,afmid,central,fail
female,front,never,often,sometimes,sometimes,great,art-math,highschool,17,dormitory,bfmid,central,success
male,front,never,sometimes,sometimes,never,admission,art-math,highschool,18,dormitory,afmid,central,fail
male,middle,sometimes,sometimes,sometimes,sometimes,admission,science-math,highschool,18,dormitory,bfmid,central,fail
female,middle,sometimes,sometimes,sometimes,sometimes,test,science-math,highschool,18,dormitory,bfmid,southern,fail
female,middle,never,sometimes,sometimes,sometimes,great,science-math,highschool,18,dormitory,bfmid,north,fail
female,middle,sometimes,sometimes,sometimes,never,test,science-math,highschool,18,dormitory,bfmid,central,fail
male,front,never,sometimes,sometimes,often,test,science-math,highschool,19,dormitory,bfmid,central,success
female,front,never,sometimes,never,sometimes,test,science-math,highschool,19,dormitory,bfmid,northeast,success
female,middle,never,sometimes,never,sometimes,area,art-math,highschool,18,outside,bfmid,east,success
female,middle,sometimes,sometimes,sometimes,never,test,science-math,highschool,18,outside,bfmid,central,fail
male,middle,sometimes,sometimes,sometimes,sometimes,test,science-math,highschool,19,dormitory,afmid,central,fail
female,middle,never,often,sometimes,sometimes,admission,art-math,highschool,18,outside,afmid,east,success
female,middle,sometimes,often,sometimes,sometimes,area,science-math,highschool,20,dormitory,bfmid,east,fail
male,front,never,sometimes,sometimes,sometimes,area,art-math,highschool,19,dormitory,afmid,east,fail
female,front,never,often,sometimes,sometimes,area,science-math,highschool,18,dormitory,bfmid,central,fail
male,middle,sometimes,never,often,sometimes,admission,science-math,highschool,20,outside,afmid,central,fail
female,front,sometimes,sometimes,never,sometimes,test,science-math,highschool,18,dormitory,afmid,central,fail
male,middle,sometimes,sometimes,sometimes,never,area,science-math,highschool,18,house,bfmid,east,success
